Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
label,1,2,15,31,30,16,5,95,227063,4.55
hunky,1,0,9,31,26,19,14,86,228002,4.9399999999999995
khaki,1,1,13,32,29,15,9,91,227354,4.680000000000001
poker,1,2,14,29,29,17,8,92,227539,4.66
gruel,0,2,17,40,30,9,2,98,270525,4.33
twice,1,3,25,40,23,7,1,99,90085,4.06
twang,1,1,20,45,26,6,1,99,224707,4.160000000000001
shrug,0,3,21,38,27,9,2,98,225117,4.239999999999999
treat,1,15,35,30,14,4,1,99,225132,3.57
waste,1,4,17,29,26,16,7,93,225004,4.51
merit,1,4,31,40,18,5,1,99,224878,3.8899999999999997
woven,0,2,12,33,35,14,4,96,225164,4.59
needy,1,1,19,43,27,7,2,98,225037,4.2299999999999995
clown,1,5,29,37,21,6,1,99,225122,3.9399999999999995
irony,1,3,27,37,22,8,2,98,224996,4.08
ruder,0,2,13,34,29,15,7,93,225016,4.630000000000001
gauze,0,2,8,23,31,24,12,88,224980,5.029999999999999
chief,1,3,30,41,19,5,1,99,450449,3.9299999999999993
onset,1,2,26,42,22,5,2,98,450877,4.05
prize,1,2,11,22,33,24,7,93,449938,4.84
fungi,1,1,15,43,29,9,2,98,59595,4.33
charm,1,7,32,38,17,4,1,99,449980,3.7899999999999996
gully,0,1,7,26,32,25,9,91,449737,5.0
inter,0,4,22,38,24,9,3,97,450212,4.21
whoop,0,1,14,49,29,6,1,99,450375,4.28
taunt,0,3,17,28,21,16,15,85,450117,4.75
leery,0,2,16,39,29,11,3,97,450139,4.4
class,1,2,16,32,23,13,13,87,449859,4.65
theme,0,5,27,43,20,4,1,99,449989,3.94
lofty,0,2,17,35,28,13,5,95,449483,4.4799999999999995
tibia,0,1,13,42,30,11,3,97,450532,4.46
booze,0,1,6,26,40,20,7,93,449819,4.930000000000001
alpha,1,1,15,40,30,10,3,97,450516,4.39
thyme,1,3,23,45,23,4,1,99,449458,4.0200000000000005
doubt,1,7,32,38,17,4,1,99,449941,3.7899999999999996
parer,0,1,2,8,12,18,59,41,448820,6.21
chute,0,8,37,40,12,2,1,99,449094,3.66
stick,0,6,36,38,15,4,1,99,448776,3.78
trice,0,4,21,25,18,17,15,85,449062,4.68
alike,0,4,19,34,28,12,3,97,448510,4.34
recap,0,4,29,37,21,7,2,98,448185,4.039999999999999
saint,1,9,36,32,16,5,1,99,436021,3.7199999999999993
glory,0,4,29,41,20,5,1,99,672822,3.9599999999999995
grate,1,9,30,32,17,7,4,96,672845,3.92
admit,0,7,23,37,25,6,2,98,674056,4.06
brisk,0,3,22,41,26,7,1,99,672933,4.15
soggy,0,2,17,42,28,9,2,98,672960,4.31
usurp,0,2,19,40,28,8,3,97,671995,4.3
scald,0,3,23,38,24,9,3,97,672171,4.22
scorn,0,6,30,36,21,6,1,99,672443,3.9399999999999995
leave,0,3,14,35,33,13,2,98,69922,4.449999999999999
twine,0,4,28,42,21,4,1,99,672380,3.9599999999999995
sting,0,6,26,35,21,9,3,97,671880,4.1
bough,0,2,15,37,30,12,4,96,671678,4.47
marsh,0,7,28,37,21,6,1,99,672393,3.9399999999999995
sloth,1,7,37,37,14,3,1,99,672248,3.6900000000000004
dandy,0,1,8,23,31,24,13,87,671539,5.08
vigor,0,1,13,35,34,13,4,96,671338,4.57
howdy,0,1,11,32,34,16,6,94,671855,4.71
enjoy,0,2,8,27,36,20,7,93,672001,4.8500000000000005
valid,0,3,26,40,23,6,2,98,671673,4.09
ionic,0,1,11,24,29,20,15,85,671781,5.01
equal,0,3,19,36,27,11,4,96,672557,4.36
floor,0,2,20,47,25,5,1,99,671420,4.140000000000001
catch,0,4,15,20,16,16,29,71,671117,5.119999999999999
spade,0,5,29,40,20,5,1,99,671360,3.94
stein,0,9,35,34,16,5,1,99,671576,3.7599999999999993
exist,0,3,21,41,25,8,2,98,671083,4.2
quirk,0,2,19,43,26,8,2,98,671702,4.249999999999999
denim,0,4,25,43,22,5,1,99,671921,4.02
grove,0,2,15,31,31,16,5,95,671091,4.59
spiel,0,4,30,39,20,6,1,99,670806,3.9699999999999998
mummy,0,1,2,11,27,34,25,75,670759,5.66
fault,0,5,24,36,24,9,2,98,670964,4.14
foggy,0,1,11,35,34,14,5,95,671232,4.64
flout,0,3,26,40,23,7,1,99,671181,4.080000000000001
carry,0,3,19,37,25,11,5,95,671000,4.369999999999999
sneak,0,5,27,38,22,7,1,99,670623,4.0200000000000005
libel,0,2,12,32,34,16,4,96,670015,4.62
waltz,0,2,9,29,36,18,6,94,671089,4.77
aptly,0,2,23,44,23,6,2,98,670342,4.14
piney,0,1,13,39,32,12,3,97,670158,4.5
inept,0,4,28,41,20,6,1,99,670596,3.9899999999999993
aloud,1,10,32,34,17,5,1,99,670890,3.75
photo,0,3,31,46,16,3,1,99,670910,3.88
dream,1,10,33,34,17,4,1,99,670308,3.72
stale,1,15,32,29,15,6,2,98,670463,3.6799999999999997
begin,0,4,23,38,25,8,2,98,665588,4.159999999999999
spell,0,3,22,40,25,8,2,98,666094,4.19
rainy,1,11,41,33,11,2,1,99,667285,3.52
unite,0,7,31,36,19,6,1,99,666756,3.8899999999999997
medal,0,4,22,40,25,8,1,99,667444,4.140000000000001
valet,0,3,22,39,27,8,1,99,666461,4.180000000000001
inane,0,6,25,31,22,11,5,95,667602,4.22
maple,0,5,25,38,22,8,2,98,667607,4.09
snarl,0,4,23,32,23,14,4,96,667918,4.32
baker,0,3,13,22,25,23,14,86,667806,4.9399999999999995
there,0,10,35,37,15,2,1,99,667469,3.67
glyph,0,1,18,51,23,4,3,97,667406,4.2
avert,0,4,26,38,23,7,2,98,667160,4.09
brave,0,4,14,28,29,19,6,94,667599,4.63
axiom,0,3,17,34,29,12,5,95,668801,4.449999999999999
prime,1,6,24,35,24,8,2,98,668318,4.07
drive,1,7,31,34,20,6,1,99,667805,3.87
feast,2,10,27,29,21,9,2,98,667435,3.9200000000000004
itchy,0,5,27,45,18,4,1,99,668353,3.9199999999999995
clean,1,13,38,32,13,2,1,99,667182,3.53
happy,0,4,28,43,18,6,1,99,667706,3.9699999999999993
tepid,0,7,39,38,13,2,1,99,667968,3.67
undue,0,2,16,37,30,12,3,97,668521,4.43
study,0,4,28,34,20,10,4,96,668597,4.16
eject,0,1,9,35,38,13,4,96,667890,4.65
chafe,0,4,31,37,19,7,2,98,667789,4.0
torso,0,3,34,39,17,6,1,99,668343,3.92
adore,1,12,34,32,16,4,1,99,668366,3.6599999999999997
woken,0,1,7,25,38,23,6,94,668028,4.93
amber,0,3,19,35,26,12,5,95,667963,4.3999999999999995
joust,0,4,30,38,20,6,2,98,667808,4.0
infer,0,2,17,34,29,13,5,95,670319,4.49
braid,0,8,37,39,13,2,1,99,668980,3.67
knock,0,2,15,43,30,7,3,97,668522,4.34
naive,0,5,22,34,26,10,3,97,669014,4.2299999999999995
apply,0,4,25,39,24,7,1,99,668662,4.08
spoke,0,5,30,42,18,4,1,99,667816,3.8899999999999992
usual,0,2,17,39,29,9,4,96,669579,4.380000000000001
rival,0,5,25,38,23,7,2,98,668123,4.08
probe,0,4,23,34,26,10,3,97,667972,4.239999999999999
chord,0,4,38,41,14,2,1,99,667478,3.7499999999999996
taper,0,6,28,33,20,9,4,96,668307,4.1000000000000005
slate,4,11,36,31,13,4,1,99,667908,3.5399999999999996
third,0,7,48,34,9,1,1,99,667807,3.5200000000000005
lunar,0,4,32,43,17,3,1,99,667757,3.86
excel,0,1,11,33,36,15,4,96,666939,4.65
pinky,0,2,19,43,25,9,2,98,1348353,4.26
horse,1,8,35,32,16,6,2,98,666983,3.8
regal,0,4,21,38,26,9,2,98,665916,4.21
