Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
label,0,1,12,36,20,22,9,91,100,4.77
hunky,0,1,7,22,17,30,23,77,100,5.37
khaki,0,0,3,34,38,22,3,97,100,4.88
poker,0,1,2,17,25,20,35,65,100,5.66
gruel,0,1,13,26,45,14,1,99,100,4.61
twice,0,0,11,22,38,28,1,99,100,4.86
twang,0,0,10,34,33,21,2,98,100,4.71
shrug,0,1,10,42,35,10,2,98,100,4.489999999999999
treat,0,1,6,33,34,10,16,84,100,4.9399999999999995
waste,0,3,10,18,23,22,24,76,100,5.2299999999999995
merit,0,1,15,33,30,16,5,95,100,4.6
woven,0,0,5,15,38,20,22,78,100,5.39
needy,0,0,8,28,43,14,7,93,100,4.84
clown,0,0,13,31,27,21,8,92,100,4.800000000000001
irony,0,0,13,40,32,15,0,100,100,4.49
ruder,0,1,10,32,36,17,4,96,100,4.7
gauze,0,0,3,21,31,26,19,81,100,5.37
chief,0,2,12,39,37,7,3,97,100,4.44
onset,0,0,22,41,31,6,0,100,100,4.21
prize,0,1,5,18,30,30,16,84,100,5.31
fungi,0,2,22,35,36,5,0,100,100,4.2
charm,0,1,9,25,21,22,22,78,100,5.2
gully,0,1,5,19,32,15,28,72,100,5.390000000000001
inter,0,1,12,33,27,20,7,93,100,4.74
whoop,0,1,12,31,43,13,0,100,100,4.55
taunt,0,1,9,23,18,17,32,68,100,5.37
leery,0,0,13,37,19,21,10,90,100,4.78
class,0,0,6,18,12,24,40,60,100,5.74
theme,0,1,10,32,34,17,6,94,100,4.74
lofty,0,1,13,32,26,17,11,89,100,4.779999999999999
tibia,0,0,7,35,40,16,2,98,100,4.71
booze,0,0,12,16,26,29,17,83,100,5.23
alpha,0,1,17,40,35,6,1,99,100,4.3100000000000005
thyme,0,2,12,37,40,8,1,99,100,4.43
doubt,0,1,15,40,28,15,1,99,100,4.44
parer,0,0,1,14,22,21,42,58,100,5.890000000000001
chute,0,1,10,33,39,16,1,99,100,4.62
stick,0,0,8,27,34,18,13,87,100,5.01
trice,0,0,9,22,27,16,26,74,100,5.28
alike,0,1,15,27,26,20,11,89,100,4.82
recap,0,0,9,31,34,19,7,93,100,4.84
saint,0,1,16,39,30,7,7,93,100,4.47
glory,0,2,16,45,29,8,0,100,100,4.25
grate,0,0,4,19,25,17,35,65,100,5.6
admit,0,0,8,32,43,14,3,97,100,4.72
brisk,0,0,9,36,38,15,2,98,100,4.6499999999999995
soggy,0,2,14,23,19,24,18,82,100,5.03
usurp,0,0,17,51,27,4,1,99,100,4.21
scald,0,0,9,21,25,29,16,84,100,5.22
scorn,0,0,15,36,29,14,6,94,100,4.6
leave,0,0,11,22,36,27,4,96,100,4.91
twine,0,1,8,25,33,19,14,86,100,5.029999999999999
sting,0,1,13,28,37,9,12,88,100,4.760000000000001
bough,0,1,5,19,37,22,16,84,100,5.220000000000001
marsh,0,1,15,39,35,9,1,99,100,4.390000000000001
sloth,0,0,22,37,32,8,1,99,100,4.290000000000001
dandy,0,0,4,14,28,14,40,60,100,5.72
vigor,0,1,18,23,37,16,5,95,100,4.64
howdy,0,0,10,32,32,17,9,91,100,4.83
enjoy,0,0,7,38,41,12,2,98,100,4.64
valid,0,1,8,28,32,24,7,93,100,4.91
ionic,0,2,11,21,30,27,9,91,100,4.96
equal,0,3,11,29,45,12,0,100,100,4.52
floor,0,1,16,38,33,11,1,99,100,4.4
catch,0,4,6,17,16,13,44,56,100,5.6000000000000005
spade,0,0,13,20,27,24,16,84,100,5.1
stein,0,0,14,41,30,9,6,94,100,4.52
exist,0,1,13,46,31,8,1,99,100,4.35
quirk,0,0,6,36,42,16,0,100,100,4.68
denim,0,3,18,34,29,15,1,99,100,4.380000000000001
grove,0,0,4,22,29,22,23,77,100,5.380000000000001
spiel,0,0,22,37,27,12,2,98,100,4.35
mummy,0,1,4,10,17,25,43,57,100,5.9
fault,0,1,5,20,30,27,17,83,100,5.279999999999999
foggy,0,0,4,20,29,33,14,86,100,5.33
flout,0,0,12,25,41,21,1,99,100,4.74
carry,0,0,7,11,27,30,25,75,100,5.55
sneak,0,2,22,25,38,13,0,100,100,4.38
libel,0,2,8,19,40,24,7,93,100,4.970000000000001
waltz,0,3,12,28,32,21,4,96,100,4.680000000000001
aptly,0,0,13,53,30,4,0,100,100,4.25
piney,0,1,7,31,29,25,7,93,100,4.91
inept,0,1,15,40,40,4,0,100,100,4.3100000000000005
aloud,0,2,9,42,34,13,0,100,100,4.47
photo,0,0,17,46,28,8,1,99,100,4.300000000000001
dream,0,2,7,27,32,27,5,95,100,4.9
stale,0,3,8,18,26,20,25,75,100,5.2700000000000005
begin,0,2,16,38,36,8,0,100,100,4.32
spell,0,0,8,21,27,26,18,82,100,5.25
rainy,0,1,11,39,28,17,4,96,100,4.61
unite,0,1,15,40,30,14,0,100,100,4.41
medal,0,3,10,31,33,17,6,94,100,4.6899999999999995
valet,0,1,12,26,31,23,7,93,100,4.84
inane,0,0,14,33,32,20,1,99,100,4.61
maple,0,2,13,23,36,17,9,91,100,4.8
snarl,0,2,10,23,36,15,14,86,100,4.9399999999999995
baker,0,0,5,19,13,12,51,49,100,5.85
there,0,0,5,30,43,18,4,96,100,4.86
glyph,0,3,17,56,24,0,0,100,100,4.010000000000001
avert,0,2,16,32,32,15,3,97,100,4.510000000000001
brave,0,0,8,12,32,14,34,66,100,5.54
axiom,0,1,14,31,44,9,1,99,100,4.49
prime,0,0,5,24,29,31,11,89,100,5.1899999999999995
drive,0,1,11,36,36,12,4,96,100,4.59
feast,0,1,13,21,27,25,13,87,100,5.01
itchy,0,2,18,50,27,3,0,100,100,4.11
clean,0,2,12,39,33,13,1,99,100,4.46
happy,0,0,3,22,24,22,29,71,100,5.52
tepid,0,1,12,36,31,19,1,99,100,4.58
undue,0,0,13,35,40,12,0,100,100,4.51
study,0,1,20,43,18,13,5,95,100,4.369999999999999
eject,0,1,15,26,45,12,1,99,100,4.55
chafe,0,2,7,18,26,26,21,79,100,5.3
torso,0,2,15,32,40,10,1,99,100,4.44
adore,0,1,8,33,29,22,7,93,100,4.840000000000001
woken,0,1,9,22,29,21,18,82,100,5.14
amber,0,2,14,37,31,11,5,95,100,4.5
joust,0,0,5,29,46,16,4,96,100,4.85
infer,0,1,9,29,29,22,10,90,100,4.92
braid,0,0,16,35,35,9,5,95,100,4.52
knock,0,4,13,46,29,7,1,99,100,4.25
naive,0,2,7,37,39,8,7,93,100,4.65
apply,0,1,10,27,50,12,0,100,100,4.62
spoke,0,2,8,26,41,17,6,94,100,4.8100000000000005
usual,0,3,16,57,22,2,0,100,100,4.04
rival,0,5,13,36,31,8,7,93,100,4.45
probe,0,3,16,21,21,17,22,78,100,4.99
chord,0,1,14,41,33,9,2,98,100,4.409999999999999
taper,0,0,8,18,10,19,45,55,100,5.75
slate,0,0,11,29,26,19,15,85,100,4.9799999999999995
third,0,3,18,44,24,8,3,97,100,4.250000000000001
lunar,0,0,10,48,29,12,1,99,100,4.46
excel,0,0,9,37,41,12,1,99,100,4.59
pinky,0,2,6,27,23,20,22,78,100,5.19
horse,0,3,8,25,23,14,27,73,100,5.18
regal,0,1,15,27,32,19,6,94,100,4.71
where,1,1,11,26,34,21,6,94,100,4.779999999999999
revel,0,4,5,23,21,28,19,81,100,5.21
email,0,0,19,50,27,3,1,99,100,4.17
birth,0,2,6,29,27,21,15,85,100,5.04
blame,0,3,6,23,26,27,15,85,100,5.13
surly,0,2,10,33,37,9,9,91,100,4.680000000000001
sweep,0,1,9,31,28,24,7,93,100,4.859999999999999
cider,0,2,11,18,25,21,23,77,100,5.21
mealy,0,1,14,35,29,16,5,95,100,4.6
yacht,0,1,20,47,27,5,0,100,100,4.15
credo,0,3,18,43,27,9,0,100,100,4.210000000000001
glove,0,0,8,17,28,30,17,83,100,5.3100000000000005
tough,0,0,5,27,39,20,9,91,100,5.01
duvet,0,2,10,32,41,12,3,97,100,4.6
staid,0,4,12,28,35,15,6,94,100,4.63
grout,0,1,10,33,29,19,8,92,100,4.789999999999999
voter,0,0,9,24,34,18,15,85,100,5.06
untie,0,2,10,34,32,19,3,97,100,4.65
guano,0,0,21,32,37,9,1,99,100,4.370000000000001
hurry,0,1,2,18,18,22,39,61,100,5.75
beset,0,0,14,43,34,7,2,98,100,4.3999999999999995
bread,0,0,9,31,31,19,10,90,100,4.9
every,0,0,15,29,40,15,1,99,100,4.58
march,0,1,13,29,29,26,2,98,100,4.72
stock,0,0,11,31,26,27,5,95,100,4.84
flora,0,1,15,38,34,10,2,98,100,4.43
ratio,0,3,8,38,33,18,0,100,100,4.55
smash,0,1,9,33,27,20,10,90,100,4.86
leafy,0,0,5,25,26,27,17,83,100,5.26
locus,0,1,7,22,34,23,13,87,100,5.1
ledge,0,0,10,35,27,20,8,92,100,4.8100000000000005
snafu,0,1,17,35,32,15,0,100,100,4.430000000000001
under,0,3,12,37,32,16,0,100,100,4.46
qualm,0,0,9,27,48,11,5,95,100,4.76
borax,0,0,6,22,32,21,19,81,100,5.25
carat,0,1,14,26,36,19,4,96,100,4.7
thief,0,1,22,35,34,7,1,99,100,4.2700000000000005
agony,0,0,11,46,32,9,2,98,100,4.45
dwelt,0,1,19,35,39,5,1,99,100,4.31
whiff,0,1,5,28,35,23,8,92,100,4.98
hound,0,0,8,28,20,15,29,71,100,5.29
thump,0,2,13,41,36,8,0,100,100,4.35
plate,0,2,10,21,33,28,6,94,100,4.93
kayak,0,2,6,34,22,27,9,91,100,4.930000000000001
broke,0,1,4,22,32,25,16,84,100,5.24
unzip,0,1,13,26,34,14,12,88,100,4.83
ditto,0,2,15,30,44,6,3,97,100,4.46
joker,0,0,6,8,16,12,58,42,100,6.08
metro,0,0,18,37,33,11,1,99,100,4.4
logic,0,1,10,27,46,15,1,99,100,4.670000000000001
circa,0,0,12,19,45,20,4,96,100,4.8500000000000005
cedar,0,2,22,35,28,11,2,98,100,4.3
plaza,0,0,6,29,36,26,3,97,100,4.909999999999999
range,0,1,12,31,31,18,7,93,100,4.74
sulky,0,2,14,33,40,9,2,98,100,4.46
horde,0,0,16,27,24,24,9,91,100,4.829999999999999
guppy,0,0,5,20,25,27,23,77,100,5.430000000000001
below,0,0,13,38,41,7,1,99,100,4.45
anger,0,0,6,27,39,20,8,92,100,4.970000000000001
ghoul,0,0,12,46,34,8,0,100,100,4.380000000000001
aglow,0,1,8,29,30,27,5,95,100,4.89
cocoa,0,0,7,28,34,18,13,87,100,5.0200000000000005
ethic,0,2,19,43,35,1,0,100,100,4.14
broom,0,0,10,26,30,22,12,88,100,5.0
snack,0,1,19,25,32,14,9,91,100,4.66
acrid,0,2,16,37,33,11,1,99,100,4.38
scarf,0,2,6,22,28,23,19,81,100,5.21
canoe,0,0,15,38,23,15,9,91,100,4.65
latte,0,1,9,20,35,27,8,92,100,5.02
plank,0,1,5,21,40,27,6,94,100,5.05
